Style_family,Style,Style_family_code,Style_code,Original_gravity_min,Original_gravity_max,Final_gravity_min,Final_gravity_max,Alcohol_by_volume_min,Alcohol_by_volume_max,International_bitterness_units_min,International_bitterness_units_max,Bitterness_ratio_min,Bitterness_ratio_max,Standard_reference_method_min,Standard_reference_method_max,Volumes_of_CO2_min,Volumes_of_CO2_max,Apparent_attenuation_min,Apparent_attenuation_max
Pale ales,American Amber Ale,1,101,1.048,1.058,1.012,1.018,4.4,6.1,25,45,0.62,0.78,11,18,2,2.5,69,75
Pale ales,American Pale Ale,1,102,1.044,1.05,1.008,1.014,4.4,5.4,30,50,0.68,1,6,14,2,2.5,72,82
Pale ales,Blonde Ale,1,103,1.045,1.054,1.008,1.016,4.1,5.1,15,25,0.33,0.45,3,7,2,2.5,71,82
Pale ales,English-Style Bitter,1,104,1.033,1.038,1.006,1.012,3,4.2,20,35,0.61,0.92,5,12,1,1.5,68,82
Pale ales,English-Style Pale Ale (extra special bitter),1,105,1.04,1.056,1.008,1.016,4.4,4.2,20,40,0.5,0.71,5,12,1.5,2,71,80
Dark lager,American Amber Lager,2,201,1.042,1.056,1.01,1.018,4.8,5.4,18,30,0.43,0.54,6,14,2.5,2.5,68,76
Dark lager,German-Style Dunkel,2,202,1.048,1.056,1.014,1.018,4.8,5.3,16,25,0.33,0.45,15,17,2,2.5,68,71
Dark lager,German-Style Marzen / Oktoberfest,2,203,1.05,1.06,1.012,1.02,5.1,6,18,25,0.36,0.42,4,15,2,2.5,67,76
Dark lager,German-Style Schwarzbier,2,204,1.044,1.052,1.01,1.016,3.8,4.9,22,30,0.5,0.58,25,30,2,2.5,69,77
Dark lager,Vienna-Style Lager,2,205,1.046,1.056,1.012,1.018,4.8,5.4,22,28,0.48,0.5,12,26,2,2.5,68,74
Brown Ale,American Brown Ale,3,301,1.04,1.06,1.01,1.018,4.2,6.3,25,45,0.62,0.75,15,26,2,2.5,70,75
Brown Ale,English-Style Brown Ale,3,302,1.04,1.05,1.008,1.014,4.2,6,15,25,0.38,0.5,12,17,1,1.5,72,80
Brown Ale,English-Style Mild,3,303,1.03,1.036,1.004,1.008,3.4,4.4,10,24,0.33,0.67,17,34,1,1.5,78,87
India Pale Ale,American IPA,4,401,1.06,1.075,1.012,1.018,6.3,7.6,50,70,0.83,0.93,6,14,2,2.5,76,80
India Pale Ale,English-Style IPA,4,402,1.05,1.064,1.012,1.018,5.1,7.1,35,63,0.7,0.98,6,14,2,2.5,72,76
India Pale Ale,Imperial India Pale Ale,4,403,1.075,1.1,1.012,1.02,7.6,10.6,65,100,0.87,1,5,16,2,2.5,80,84
India Pale Ale,New England IPA,4,404,1.06,1.07,1.008,1.016,6.3,7.5,50,70,,,4,7,2,2.5,73,89
Wheat Beers,American-Style Wheat Wine Ale,5,501,1.088,1.12,1.024,1.032,8.5,12.2,45,85,0.51,0.71,5,15,2,2.5,73,73
Wheat Beers,American Wheat,5,502,1.036,1.056,1.004,1.018,3.5,5.6,10,35,0.28,0.62,2,10,2.5,2.5,68,89
Wheat Beers,Belgian-Style Witbier,5,503,1.044,1.05,1.006,1.01,4.8,5.6,10,17,0.23,0.34,2,4,2,2.5,80,86
Wheat Beers,Berliner-Style Weisse,5,504,1.028,1.032,1.004,1.006,2.8,3.4,3,6,0.11,0.19,2,4,3.5,4,81,86
Wheat Beers,German-Style Dunkelweizen,5,505,1.048,1.056,1.008,1.056,4.8,5.4,10,15,0.21,0.27,10,25,2.5,3,71,83
Wheat Beers,German-Style Hefeweizen,5,506,1.047,1.056,1.008,1.016,4.9,5.6,10,15,0.21,0.27,3,9,2.5,3,71,83
Strong Ales,American Barley Wine,6,601,1.09,1.12,1.024,1.028,8.5,12.2,60,100,0.67,0.83,11,18,2,2.5,73,77
Strong Ales,American Imperial Red Ale,6,602,1.08,1.1,1.02,1.028,8,10.6,55,85,0.69,0.85,10,17,2,2.5,72,75
Strong Ales,British-Style Barley Wine Ale,6,603,1.085,1.12,1.024,1.028,8.5,12,40,60,0.47,0.5,14,22,1.5,2,72,77
Strong Ales,English-Style Old Ale,6,604,1.058,1.088,1.014,1.03,6.3,9.1,30,65,0.52,0.74,12,30,2,2,66,76
Belgian Styles,Belgian-Style Blonde Ale,7,701,1.054,1.068,1.008,1.015,6.3,7.9,15,30,0.28,0.44,4,7,3,4,78,85
Belgian Styles,Belgian-Style Dubbel,7,702,1.06,1.075,1.012,1.016,6.3,7.6,20,35,0.33,0.4,16,36,3,4,79,80
Belgian Styles,Belgian-Style Golden Strong Ale,7,703,1.064,1.096,1.008,1.024,7.1,11.2,20,50,0.31,0.52,3.5,10,4,4,75,88
Belgian Styles,Belgian-Style Pale Ale,7,704,1.044,1.054,1.008,1.014,4.1,6.3,20,30,0.45,0.56,6,12,2.5,2.5,74,82
Belgian Styles,Belgian-Style Quadrupel,7,705,1.084,1.12,1.014,1.02,9.1,14.2,25,50,0.3,0.42,8,20,2.5,3,83,83
Belgian Styles,Belgian-Style Saison,7,706,1.04,1.08,1.01,1.014,4.4,8.4,20,38,0.5,0.5,4,14,3,3.5,83,75
Belgian Styles,Belgian-Style Tripel,7,707,1.07,1.092,1.008,1.018,7.1,10.1,20,45,0.29,0.49,4,9,3,4,80,89
Hybrid Beers,American Cream Ale,8,801,1.044,1.052,1.004,1.01,4.3,5.7,10,22,0.23,0.42,2,5,2.5,2.5,81,91
Hybrid Beers,French-Style Biere de Garde,8,802,1.06,1.08,1.012,1.024,4.4,8,20,30,0.33,0.38,7,16,2.5,3,70,80
Hybrid Beers,California Common,8,803,1.045,1.056,1.01,1.018,4.6,5.7,35,45,0.78,0.8,8,15,2.5,3,68,78
Hybrid Beers,German-Style Brown/Altbier,8,804,1.044,1.052,1.008,1.014,4.6,5.6,25,52,0.57,1,11,19,1.5,2.5,73,82
